"Timestamp","Latitude","Longitude","Accuracy","Location Name","Retrieved from","Username","Context"
"2016-11-09 01:49:48 +0000","40.780709","-73.9685415","low","Manhattan","twitter","VivianHughbanks","That moment when you get the middle name wrong of the most famous candidate ever. #HillaryRodmanClinton #ElectionNight"
"2016-11-09 01:49:47 +0000","40.780709","-73.9685415","low","Manhattan","twitter","Xolileee_","Wow I'd create my own app hey. https://t.co/EhhD2PFHAh"
"2016-11-09 01:49:47 +0000","40.780709","-73.9685415","low","Manhattan","twitter","LukeySandz","C'MON https://t.co/9I4xtuyhr8"
"2016-11-09 01:49:47 +0000","40.7889","-73.9612","high","Manhattan","twitter","beerlationship","Drinking a Lavender Honey De Brettaville by @AlmanacBeer at @centralparknyc — https://t.co/NhE3OeYhlZ"
"2016-11-09 01:49:44 +0000","40.780709","-73.9685415","low","Manhattan","twitter","becksnyc78","Florida is pissing me off right now. #ElectionNight"
"2016-11-09 01:49:44 +0000","40.780709","-73.9685415","low","Manhattan","twitter","AsherSchechter","Atmosphere at the Javits Center is starting to heat up @haaretzcom"
"2016-11-09 01:49:42 +0000","40.780709","-73.9685415","low","Manhattan","twitter","GabrielRom1","As results start coming in Trump supporters gather near the Hilton. Chanting: "Drain the swamp!" (?) @lohud https://t.co/cUfXwsxZhG"
"2016-11-09 01:49:41 +0000","40.780709","-73.9685415","low","Manhattan","twitter","lily_dal","@HoloceneSims this fuckin election is a nail biter!!!"
"2016-11-09 01:49:38 +0000","40.780709","-73.9685415","low","Manhattan","twitter","jordsmason","this is #cool #trendy #hip https://t.co/FSnsBduqVU"
"2016-11-09 01:49:37 +0000","40.780709","-73.9685415","low","Manhattan","twitter","zavaindar","Legitimately adding every state that votes Trump to my: do-not-stop-for-gas drive-through list"
"2016-11-09 01:49:37 +0000","40.780709","-73.9685415","low","Manhattan","twitter","ChrisGalvin1981","@AdlaiM My pleasure. Amazing comic. 😊"
"2016-11-09 01:49:36 +0000","40.780709","-73.9685415","low","Manhattan","twitter","catajack","@leandromass no. 😡"
"2016-11-09 01:49:36 +0000","40.780709","-73.9685415","low","Manhattan","twitter","NYCbirder","@domhall Here's a clear demonstration of diminishing returns for spp seen at Swindler Cove and Trinity Church … https://t.co/Lt9p8bA0d8"
